id,user_id,league_id,created_at,updated_at
1,1,1,2011-09-08 07:04:28.147992,2011-09-08 07:04:28.147992
2,5,1,2011-09-08 08:53:51.955689,2011-09-08 08:53:51.955689
3,6,1,2011-09-08 11:32:25.186039,2011-09-08 11:32:25.186039
4,7,1,2011-09-08 12:44:01.965106,2011-09-08 12:44:01.965106
5,8,1,2011-09-08 23:09:42.709046,2011-09-08 23:09:42.709046
6,9,1,2011-09-09 03:36:48.719271,2011-09-09 03:36:48.719271
7,10,1,2011-09-09 03:41:10.95615,2011-09-09 03:41:10.95615
8,11,1,2011-09-09 03:44:25.204812,2011-09-09 03:44:25.204812
9,12,1,2011-09-17 05:11:49.171179,2011-09-17 05:11:49.171179
