id,name,pool,created_at,updated_at,short_name
9,Argentina,B,2011-09-08 05:05:25.036747,2011-09-08 05:05:25.633169,ARG
11,Australia,C,2011-09-08 05:05:25.108506,2011-09-08 05:05:25.656089,AUS
18,Canada,A,2011-09-08 05:05:25.166552,2011-09-08 05:05:25.658253,CAN
10,England,B,2011-09-08 05:05:25.040608,2011-09-08 05:05:25.659977,ENG
5,Fiji,D,2011-09-08 05:05:25.011933,2011-09-08 05:05:25.661734,FIJ
7,France,A,2011-09-08 05:05:25.02157,2011-09-08 05:05:25.664408,FRA
19,Georgia,B,2011-09-08 05:05:25.204154,2011-09-08 05:05:25.667653,GEO
13,Ireland,C,2011-09-08 05:05:25.118722,2011-09-08 05:05:25.669456,IRL
12,Italy,C,2011-09-08 05:05:25.11209,2011-09-08 05:05:25.671225,ITA
8,Japan,A,2011-09-08 05:05:25.024918,2011-09-08 05:05:25.673534,JPN
6,Namibia,D,2011-09-08 05:05:25.015369,2011-09-08 05:05:25.675273,NAM
1,New Zealand,A,2011-09-08 05:05:24.876985,2011-09-08 05:05:25.677017,NZL
4,Romania,B,2011-09-08 05:05:25.006174,2011-09-08 05:05:25.679299,ROU
20,Russia,C,2011-09-08 05:05:25.229606,2011-09-08 05:05:25.684458,RUS
17,Samoa,D,2011-09-08 05:05:25.13472,2011-09-08 05:05:25.686223,SAM
3,Scotland,B,2011-09-08 05:05:24.992023,2011-09-08 05:05:25.688395,SCO
15,South Africa,D,2011-09-08 05:05:25.126814,2011-09-08 05:05:25.690184,RSA
2,Tonga,A,2011-09-08 05:05:24.902179,2011-09-08 05:05:25.691964,TGA
14,USA,C,2011-09-08 05:05:25.121653,2011-09-08 05:05:25.693693,USA
16,Wales,D,2011-09-08 05:05:25.129711,2011-09-08 05:05:25.696442,WAL
